scope,encoder,metric,k,value,n_subjects,n_segments,n_dims,use_pca
global,luna,wcss,20,5183699.615807496,200,74540,256,False
global,luna,norm_entropy,3,0.9914845714376017,200,74540,256,False
global,luna,norm_entropy,4,0.9796398020073741,200,74540,256,False
global,luna,norm_entropy,5,0.9395767453085018,200,74540,256,False
global,luna,norm_entropy,6,0.9499169039061739,200,74540,256,False
global,luna,norm_entropy,7,0.9187621335941858,200,74540,256,False
global,luna,norm_entropy,8,0.9331632301583196,200,74540,256,False
global,luna,norm_entropy,9,0.9263070331063785,200,74540,256,False
global,luna,norm_entropy,10,0.9435388671433997,200,74540,256,False
global,luna,norm_entropy,11,0.9439234591410766,200,74540,256,False
global,luna,norm_entropy,12,0.9505197045276081,200,74540,256,False
global,luna,norm_entropy,13,0.9576198279423088,200,74540,256,False
global,luna,norm_entropy,14,0.9616700134118268,200,74540,256,False
global,luna,norm_entropy,15,0.9681835370468284,200,74540,256,False
global,luna,norm_entropy,16,0.9722911546178323,200,74540,256,False
global,luna,norm_entropy,17,0.9766275692272836,200,74540,256,False
global,luna,norm_entropy,18,0.9738950972655726,200,74540,256,False
global,luna,norm_entropy,19,0.9722795400278169,200,74540,256,False
global,luna,norm_entropy,20,0.9790921518047808,200,74540,256,False
global,cbramod,dbi,3,0.9583820448568012,200,74540,200,False
global,cbramod,dbi,4,1.1314912263528196,200,74540,200,False
global,cbramod,dbi,5,1.293078453064352,200,74540,200,False
global,cbramod,dbi,6,1.1555248517946473,200,74540,200,False
global,cbramod,dbi,7,1.1470012659721454,200,74540,200,False
global,cbramod,dbi,8,1.181926432466177,200,74540,200,False
global,cbramod,dbi,9,1.0631166456267747,200,74540,200,False
global,cbramod,dbi,10,1.1856035319557479,200,74540,200,False
global,cbramod,dbi,11,1.028240717374677,200,74540,200,False
global,cbramod,dbi,12,1.1132894573122054,200,74540,200,False
global,cbramod,dbi,13,1.2307831248760899,200,74540,200,False
